odom.stamp,odom.orientation.x,odom.orientation.y,odom.orientation.z,odom.orientation.w,us1.range,us2.range,us3.range,us4.range,us5.range,us6.range,odom.position.x,odom.position.y
0.998,-8.111739644634487e-05,0.002362763137847889,-0.0005544055364048581,0.9999970516980656,5.0,5.0,5.0,5.0,5.0,5.0,-0.0004319247430530637,-0.0005562529672524034
1.1,-8.743971317763197e-05,0.0023498225886657816,-0.0006374746679443415,0.9999970321526691,5.0,5.0,5.0,5.0,5.0,5.0,-0.0004850344180800936,-0.0006392159083115175
1.202,-9.819409790775555e-05,0.002358559555873244,-0.0007034612567392057,0.9999969663438989,5.0,5.0,5.0,5.0,5.0,5.0,-0.0005308633836680898,-0.0007091184533826935
1.287,-8.611384865433918e-05,0.0023676702009217047,-0.0007524811861780534,0.9999969102423714,5.0,5.0,5.0,5.0,5.0,5.0,-0.0005691083686890641,-0.0007568868597856324
1.389,-8.211586180235928e-05,0.0023730268229253705,-0.0008347103568690477,0.9999968326246353,5.0,5.0,5.0,5.0,5.0,5.0,-0.0006212061293464077,-0.0008322005067154596
1.491,-9.445250871887567e-05,0.002369723841008681,-0.0009128349035280711,0.9999967711048271,5.0,5.0,5.0,5.0,5.0,5.0,-0.0006699726185611099,-0.0009170074863748057
1.593,-7.692758173262854e-05,0.002359104936354692,-0.0009896258857518612,0.9999967246679624,5.0,5.0,5.0,5.0,5.0,5.0,-0.0007220131290332499,-0.000989405724357221
1.6949999999999998,-7.743309429841115e-05,0.00236092461698987,-0.0010513151766139363,0.9999966573821476,5.0,5.0,5.0,5.0,5.0,5.0,-0.000769959403446735,-0.0010521369614973452
1.7970000000000002,-6.549680082981563e-05,0.0023421764131827372,-0.0011465652465678915,0.999996597648189,5.0,5.0,5.0,5.0,5.0,5.0,-0.0008184593175855348,-0.0011468177186261812
1.899,-9.183833352376764e-05,0.002358519537601395,-0.0012027214618211737,0.9999964912000425,5.0,5.0,5.0,5.0,5.0,5.0,-0.000869437007242152,-0.001202573902771539
2.001,-6.382117395879868e-05,0.002346294873865867,-0.0012776855617785067,0.9999964291670386,5.0,5.0,5.0,5.0,5.0,5.0,-0.000918224276195867,-0.001276706984759411
2.103,-7.344841902715102e-05,0.0023569613130565107,-0.001353783058803318,0.9999963032982313,5.0,5.0,5.0,5.0,5.0,5.0,-0.0009685683695772884,-0.001354030135075595
2.188,-6.513027228904203e-05,0.002339543184485167,-0.0014105435428442754,0.9999962663243546,5.0,5.0,5.0,5.0,5.0,5.0,-0.0010069059913162814,-0.001405763260365122
2.29,-7.133503912207881e-05,0.002354794635533883,-0.0014826389445470774,0.9999961258101439,5.0,5.0,5.0,5.0,5.0,5.0,-0.0010531621304933625,-0.001477737436662057
2.392,-6.733818968771543e-05,0.0023474037174292194,-0.0015517706839124588,0.9999960385767037,5.0,5.0,5.0,5.0,5.0,5.0,-0.0011015630091589512,-0.0015471546816925004
2.4939999999999998,-6.230176388494556e-05,0.0023441636379725487,-0.0016221884879099517,0.9999959347516562,5.0,5.0,5.0,5.0,5.0,5.0,-0.0011500587736922308,-0.0016141358251363332
2.596,-6.005827491229576e-05,0.002338169102567274,-0.0017229293636327268,0.9999957804274273,5.0,5.0,5.0,5.0,5.0,5.0,-0.0012015095594452019,-0.0017135693666834912
